beat	raw	rec_start_ms	go_ms	offset_s	take_s	corner	verdict
3	recording-1789313896792.mp4	1789313896792	1789313899594	2.802	46.5	#0F1013	clean,TOOLTIP
3	recording-1789313997156.mp4	1789313997156	1789314000169	3.013	46.5	#0F1013	clean,TOOLTIP
